"","date","admin1","admin2","admin3","origin","household","individual"
"79",2014-04-30,"Gao","Bourem","Bourem",NA,304,1451
"80",2014-04-30,"Gao","Ansongo","Ansongo",NA,908,5371
"81",2014-04-30,"Tombouctou","Niafunke","Souboundou",NA,1300,6166
"82",2014-04-30,"Tombouctou","Gourma-Rharous","Rharous",NA,698,2795
"83",2014-04-30,"Tombouctou","Goundam","Goundam Commune",NA,837,3647
"84",2014-04-30,"Tombouctou","Tombouctou","Tombouctou",NA,2465,10990
"85",2014-04-30,"Tombouctou","Dire","Dire",NA,1589,5681
"86",2014-04-30,"Mopti","Tenenkou","Tenenkou Commune",NA,17,56
"87",2014-04-30,"Mopti","Koro","Koro",NA,68,348
"88",2014-04-30,"Mopti","Douentza","Douentza Commune",NA,41,178
"89",2014-04-30,"Mopti","Djenne","Djenne Commune",NA,76,139
"90",2014-04-30,"Mopti","Bandiagara","Bandiagara Commune",NA,62,246
"91",2014-04-30,"Mopti","Youwarou","Youwarou",NA,6,44
"92",2014-04-30,"Mopti","Bankass","Bankass",NA,30,121
"93",2014-04-30,"Mopti","Mopti","Mopti Commune",NA,1754,5816
"94",2014-04-30,"Ségou","Tominian","Tominian",NA,109,153
"95",2014-04-30,"Ségou","Macina","Macina",NA,96,279
"96",2014-04-30,"Ségou","Niono","Niono",NA,540,3201
"97",2014-04-30,"Ségou","Segou","Segou Commune",NA,1172,5221
"98",2014-04-30,"Ségou","Bla","Bla",NA,46,226
"99",2014-04-30,"Ségou","San","San Commune",NA,196,1255
"100",2014-04-30,"Ségou","Baroueli","Baraoueli",NA,26,105
"101",2014-04-30,"Sikasso","Sikasso","SIKASSO Commune",NA,341,1162
"102",2014-04-30,"Sikasso","Koutiala","Koutiala Commune",NA,367,1267
"103",2014-04-30,"Sikasso","Bougouni","Bougouni Commune",NA,86,183
"104",2014-04-30,"Sikasso","Yanfolila","Baya",NA,19,59
"105",2014-04-30,"Sikasso","Kolondieba","Kolondieba",NA,3,6
"106",2014-04-30,"Kayes","Kayes","Kayes Commune",NA,171,536
"107",2014-04-30,"Kayes","Bafoulabe","Bafoulabe",NA,26,126
"108",2014-04-30,"Kayes","Diema","Diema",NA,28,168
"109",2014-04-30,"Koulikoro","Koulikoro","Koulikoro Commune",NA,41,123
"110",2014-04-30,"Kayes","Yelimane","Guidime",NA,11,18
"111",2014-04-30,"Kayes","Nioro","Nioro Commune",NA,61,139
"112",2014-04-30,"Kayes","Kita","Kita Commune",NA,47,206
"113",2014-04-30,"Kayes","Kenieba","Kenieba",NA,20,70
"114",2014-04-30,"Sikasso","Kadiolo","Kadiolo",NA,9,22
"115",2014-04-30,"Sikasso","Yorosso","Yorosso",NA,12,33
"116",2014-04-30,"Koulikoro","Kati","Kati Commune",NA,2465,17397
"117",2014-04-30,"Koulikoro","Dioila","Guegneka",NA,37,207
"118",2014-05-31,"Koulikoro","Koulikoro","Koulikoro Commune",NA,2484,16763
"119",2014-05-31,"Kayes","Kayes","Kayes Commune",NA,362,1191
"120",2014-05-31,"Sikasso","Sikasso","SIKASSO Commune",NA,772,2004
"121",2014-05-31,"Ségou","Segou","Segou Commune",NA,2205,10394
"122",2014-05-31,"Mopti","Mopti","Mopti Commune",NA,2046,6706
"123",2014-05-31,"Tombouctou","Tombouctou","Tombouctou",NA,6776,28439
"124",2014-05-31,"Gao","Gao","Gao",NA,3036,17020
"125",2014-05-31,"Kidal","Kidal","Anefif",NA,4934,28646
"126",2014-05-31,"Bamako","Bamako","Commune I",NA,6200,39987
"127",2014-06-30,"Bamako","Bamako","Commune I",NA,6187,39627
"128",2014-06-30,"Bamako","Bamako","Commune III",NA,NA,NA
"129",2014-06-30,"Bamako","Bamako","Commune II",NA,NA,NA
"130",2014-06-30,"Kidal","Abeibara","Abeibara",NA,451,2737
"131",2014-06-30,"Kidal","Tin-Essako","Tin Essako",NA,610,4227
"132",2014-06-30,"Kidal","Tessalit","Tessalit",NA,1508,5553
"133",2014-06-30,"Bamako","Bamako","Commune V",NA,NA,NA
"134",2014-06-30,"Bamako","Bamako","Commune IV",NA,NA,NA
"135",2014-06-30,"Bamako","Bamako","Commune VI",NA,NA,NA
"136",2014-06-30,"Kidal","Kidal","Anefif",NA,2367,16133
"137",2014-06-30,"Gao","Menaka","Menaka",NA,538,3074
"138",2014-06-30,"Gao","Gao","Gao",NA,544,2706
"139",2014-06-30,"Gao","Ansongo","Ansongo",NA,527,3070
"140",2014-06-30,"Gao","Bourem","Bourem",NA,276,1526
"141",2014-06-30,"Tombouctou","Goundam","Goundam Commune",NA,405,1769
"142",2014-06-30,"Tombouctou","Gourma-Rharous","Rharous",NA,243,1031
"143",2014-06-30,"Tombouctou","Niafunke","Souboundou",NA,947,4257
"144",2014-06-30,"Tombouctou","Dire","Dire",NA,1249,3953
"145",2014-06-30,"Mopti","Tenenkou","Tenenkou Commune",NA,18,58
"146",2014-06-30,"Tombouctou","Tombouctou","Tombouctou",NA,1392,6705
"147",2014-06-30,"Mopti","Djenne","Djenne Commune",NA,79,142
"148",2014-06-30,"Mopti","Douentza","Douentza Commune",NA,44,183
"149",2014-06-30,"Mopti","Koro","Koro",NA,72,353
"150",2014-06-30,"Mopti","Mopti","Mopti Commune",NA,1325,4287
"151",2014-06-30,"Ségou","Macina","Macina",NA,63,177
"152",2014-06-30,"Ségou","Tominian","Tominian",NA,12,40
"153",2014-06-30,"Mopti","Youwarou","Youwarou",NA,6,44
"154",2014-06-30,"Mopti","Bandiagara","Bandiagara Commune",NA,55,195
"155",2014-06-30,"Mopti","Bankass","Bankass",NA,31,122
"156",2014-06-30,"Ségou","Segou","Segou Commune",NA,1153,5002
"157",2014-06-30,"Ségou","Niono","Niono",NA,370,2108
"158",2014-06-30,"Ségou","Bla","Bla",NA,21,93
"159",2014-06-30,"Ségou","San","San Commune",NA,145,867
"160",2014-06-30,"Sikasso","Sikasso","SIKASSO Commune",NA,285,488
"161",2014-06-30,"Ségou","Baroueli","Baraoueli",NA,26,105
"162",2014-06-30,"Sikasso","Bougouni","Bougouni Commune",NA,55,82
"163",2014-06-30,"Sikasso","Yanfolila","Baya",NA,16,31
"164",2014-06-30,"Sikasso","Koutiala","Koutiala Commune",NA,324,734
"165",2014-06-30,"Kayes","Kayes","Kayes Commune",NA,175,478
"166",2014-06-30,"Kayes","Diema","Diema",NA,26,139
"167",2014-06-30,"Kayes","Bafoulabe","Bafoulabe",NA,26,108
"168",2014-06-30,"Kayes","Kenieba","Kenieba",NA,20,65
"169",2014-06-30,"Kayes","Kita","Kita Commune",NA,47,178
"170",2014-06-30,"Kayes","Yelimane","Guidime",NA,9,11
"171",2014-06-30,"Kayes","Nioro","Nioro Commune",NA,60,123
"172",2014-06-30,"Koulikoro","Koulikoro","Koulikoro Commune",NA,38,112
"173",2014-06-30,"Koulikoro","Dioila","Guegneka",NA,30,185
"174",2014-06-30,"Koulikoro","Kati","Kati Commune",NA,2328,15952
"175",2014-06-30,"Sikasso","Yorosso","Yorosso",NA,10,21
"176",2014-06-30,"Sikasso","Kadiolo","Kadiolo",NA,4,9
"177",2014-06-30,"Sikasso","Kolondieba","Kolondieba",NA,3,6
"178",2014-07-31,"Koulikoro","Koulikoro","Koulikoro Commune",NA,2354,16042
"179",2014-07-31,"Kayes","Kayes","Kayes Commune",NA,275,838
"180",2014-07-31,"Sikasso","Sikasso","SIKASSO Commune",NA,665,1236
"181",2014-07-31,"Ségou","Segou","Segou Commune",NA,1790,8387
"182",2014-07-31,"Mopti","Mopti","Mopti Commune",NA,1630,5380
"183",2014-07-31,"Tombouctou","Tombouctou","Tombouctou",NA,3636,15282
"184",2014-07-31,"Gao","Gao","Gao",NA,1985,10809
"185",2014-07-31,"Kidal","Kidal","Anefif",NA,4936,28650
"186",2014-07-31,"Bamako","Bamako","Commune I",NA,6187,39625
"187",2014-08-31,"Bamako","Bamako","Commune I",NA,5579,35209
"188",2014-08-31,"Bamako","Bamako","Commune II",NA,NA,NA
"189",2014-08-31,"Kidal","Tessalit","Tessalit",NA,720,2680
"190",2014-08-31,"Kidal","Abeibara","Abeibara",NA,750,2877
"191",2014-08-31,"Bamako","Bamako","Commune VI",NA,NA,NA
"192",2014-08-31,"Bamako","Bamako","Commune IV",NA,NA,NA
"193",2014-08-31,"Bamako","Bamako","Commune V",NA,NA,NA
"194",2014-08-31,"Bamako","Bamako","Commune III",NA,NA,NA
"195",2014-08-31,"Kidal","Kidal","Anefif",NA,944,5595
"196",2014-08-31,"Kidal","Tin-Essako","Tin Essako",NA,570,2899
"197",2014-08-31,"Gao","Menaka","Menaka",NA,485,2875
"198",2014-08-31,"Gao","Ansongo","Ansongo",NA,459,2592
"199",2014-08-31,"Gao","Bourem","Bourem",NA,292,1682
"200",2014-08-31,"Gao","Gao","Gao",NA,427,1953
"201",2014-08-31,"Tombouctou","Niafunke","Souboundou",NA,327,1582
"202",2014-08-31,"Tombouctou","Gourma-Rharous","Rharous",NA,105,563
"203",2014-08-31,"Tombouctou","Goundam","Goundam Commune",NA,375,1457
"204",2014-08-31,"Mopti","Tenenkou","Tenenkou Commune",NA,18,58
"205",2014-08-31,"Tombouctou","Dire","Dire",NA,1093,4112
"206",2014-08-31,"Tombouctou","Tombouctou","Tombouctou",NA,1223,6050
"207",2014-08-31,"Mopti","Koro","Koro",NA,72,353
"208",2014-08-31,"Mopti","Douentza","Douentza Commune",NA,43,182
"209",2014-08-31,"Mopti","Djenne","Djenne Commune",NA,65,112
"210",2014-08-31,"Ségou","Macina","Macina",NA,23,88
"211",2014-08-31,"Ségou","Tominian","Tominian",NA,9,37
"212",2014-08-31,"Ségou","Niono","Niono",NA,184,979
"213",2014-08-31,"Mopti","Mopti","Mopti Commune",NA,1319,4259
"214",2014-08-31,"Mopti","Bandiagara","Bandiagara Commune",NA,51,135
"215",2014-08-31,"Mopti","Youwarou","Youwarou",NA,6,44
"216",2014-08-31,"Mopti","Bankass","Bankass",NA,28,90
"217",2014-08-31,"Ségou","Segou","Segou Commune",NA,1182,5188
"218",2014-08-31,"Ségou","San","San Commune",NA,109,631
"219",2014-08-31,"Ségou","Bla","Bla",NA,12,51
"220",2014-08-31,"Sikasso","Sikasso","SIKASSO Commune",NA,216,296
"221",2014-08-31,"Sikasso","Bougouni","Bougouni Commune",NA,38,50
"222",2014-08-31,"Ségou","Baroueli","Baraoueli",NA,16,72
"223",2014-08-31,"Sikasso","Koutiala","Koutiala Commune",NA,188,346
"224",2014-08-31,"Sikasso","Yanfolila","Baya",NA,13,20
"225",2014-08-31,"Kayes","Kayes","Kayes Commune",NA,114,337
"226",2014-08-31,"Kayes","Bafoulabe","Bafoulabe",NA,13,49
"227",2014-08-31,"Kayes","Diema","Diema",NA,16,86
"228",2014-08-31,"Kayes","Nioro","Nioro Commune",NA,58,120
"229",2014-08-31,"Koulikoro","Koulikoro","Koulikoro Commune",NA,31,96
"230",2014-08-31,"Kayes","Yelimane","Guidime",NA,7,8
"231",2014-08-31,"Kayes","Kita","Kita Commune",NA,35,119
"232",2014-08-31,"Kayes","Kenieba","Kenieba",NA,12,40
"233",2014-08-31,"Koulikoro","Dioila","Guegneka",NA,28,169
"234",2014-08-31,"Sikasso","Kolondieba","Kolondieba",NA,3,4
"235",2014-08-31,"Sikasso","Kadiolo","Kadiolo",NA,2,2
"236",2014-08-31,"Sikasso","Yorosso","Yorosso",NA,7,12
"237",2014-08-31,"Koulikoro","Kati","Kati Commune",NA,2232,15120
"238",2014-09-30,"Koulikoro","Koulikoro","Koulikoro Commune",NA,2230,14920
"239",2014-09-30,"Kayes","Kayes","Kayes Commune",NA,252,731
"240",2014-09-30,"Sikasso","Sikasso","SIKASSO Commune",NA,409,626
"241",2014-09-30,"Ségou","Segou","Segou Commune",NA,1535,7046
"242",2014-09-30,"Mopti","Mopti","Mopti Commune",NA,1602,5233
"243",2014-09-30,"Tombouctou","Tombouctou","Tombouctou",NA,3123,13764
"244",2014-09-30,"Gao","Gao","Gao",NA,1663,9102
"245",2014-09-30,"Kidal","Kidal","Anefif",NA,2984,14051
"246",2014-09-30,"Bamako","Bamako","Commune I",NA,5447,34343
"247",2014-10-31,"Bamako","Bamako","Commune I",NA,1281,8736
"248",2014-10-31,"Bamako","Bamako","Commune II",NA,348,1620
"249",2014-10-31,"Kidal","Abeibara","Abeibara",NA,577,1727
"250",2014-10-31,"Kidal","Tessalit","Tessalit",NA,853,3455
"251",2014-10-31,"Bamako","Bamako","Commune III",NA,667,4061
"252",2014-10-31,"Bamako","Bamako","Commune IV",NA,471,1895
"253",2014-10-31,"Bamako","Bamako","Commune VI",NA,1254,8806
"254",2014-10-31,"Bamako","Bamako","Commune V",NA,997,6028
"255",2014-10-31,"Kidal","Kidal","Anefif",NA,423,5469
"256",2014-10-31,"Kidal","Tin-Essako","Tin Essako",NA,349,1374
"257",2014-10-31,"Gao","Menaka","Menaka",NA,425,2381
"258",2014-10-31,"Gao","Gao","Gao",NA,317,1230
"259",2014-10-31,"Gao","Ansongo","Ansongo",NA,409,2291
"260",2014-10-31,"Gao","Bourem","Bourem",NA,227,1168
"261",2014-10-31,"Tombouctou","Goundam","Goundam Commune",NA,426,1354
"262",2014-10-31,"Tombouctou","Gourma-Rharous","Rharous",NA,95,476
"263",2014-10-31,"Tombouctou","Niafunke","Souboundou",NA,189,871
"264",2014-10-31,"Tombouctou","Tombouctou","Tombouctou",NA,1051,5193
"265",2014-10-31,"Mopti","Tenenkou","Tenenkou Commune",NA,18,58
"266",2014-10-31,"Tombouctou","Dire","Dire",NA,1075,4050
"267",2014-10-31,"Mopti","Douentza","Douentza Commune",NA,29,119
"268",2014-10-31,"Mopti","Koro","Koro",NA,61,263
"269",2014-10-31,"Ségou","Macina","Macina",NA,23,88
"270",2014-10-31,"Ségou","Niono","Niono",NA,184,979
"271",2014-10-31,"Ségou","Tominian","Tominian",NA,9,37
"272",2014-10-31,"Mopti","Bankass","Bankass",NA,16,37
"273",2014-10-31,"Mopti","Youwarou","Youwarou",NA,6,44
"274",2014-10-31,"Mopti","Djenne","Djenne Commune",NA,49,83
"275",2014-10-31,"Mopti","Bandiagara","Bandiagara Commune",NA,37,80
"276",2014-10-31,"Mopti","Mopti","Mopti Commune",NA,1264,3981
"277",2014-10-31,"Ségou","Segou","Segou Commune",NA,694,2863
"278",2014-10-31,"Ségou","Bla","Bla",NA,13,52
"279",2014-10-31,"Ségou","San","San Commune",NA,106,625
"280",2014-10-31,"Sikasso","Sikasso","SIKASSO Commune",NA,149,183
"281",2014-10-31,"Ségou","Baroueli","Baraoueli",NA,16,72
"282",2014-10-31,"Sikasso","Yanfolila","Baya",NA,13,20
"283",2014-10-31,"Sikasso","Bougouni","Bougouni Commune",NA,38,50
"284",2014-10-31,"Sikasso","Koutiala","Koutiala Commune",NA,189,347
"285",2014-10-31,"Kayes","Kayes","Kayes Commune",NA,111,311
"286",2014-10-31,"Kayes","Diema","Diema",NA,16,84
"287",2014-10-31,"Kayes","Bafoulabe","Bafoulabe",NA,13,49
"288",2014-10-31,"Kayes","Yelimane","Guidime",NA,7,8
"289",2014-10-31,"Kayes","Nioro","Nioro Commune",NA,58,120
"290",2014-10-31,"Kayes","Kenieba","Kenieba",NA,12,40
"291",2014-10-31,"Kayes","Kita","Kita Commune",NA,35,120
"292",2014-10-31,"Koulikoro","Kati","Kati Commune",NA,2019,12863
"293",2014-10-31,"Sikasso","Kadiolo","Kadiolo",NA,2,2
"294",2014-10-31,"Sikasso","Kolondieba","Kolondieba",NA,3,4
"295",2014-10-31,"Sikasso","Yorosso","Yorosso",NA,7,12
"296",2014-10-31,"Koulikoro","Koulikoro","Koulikoro Commune",NA,26,77
"297",2014-10-31,"Koulikoro","Dioila","Guegneka",NA,29,170
"298",2014-11-30,"Koulikoro","Dioila","Guegneka",NA,29,170
"299",2014-11-30,"Koulikoro","Kati","Kati Commune",NA,2019,12863
"300",2014-11-30,"Koulikoro","Koulikoro","Koulikoro Commune",NA,27,78
"301",2014-11-30,"Sikasso","Kolondieba","Kolondieba",NA,3,4
"302",2014-11-30,"Sikasso","Kadiolo","Kadiolo",NA,2,2
"303",2014-11-30,"Sikasso","Yorosso","Yorosso",NA,7,12
"304",2014-11-30,"Kayes","Kenieba","Kenieba",NA,12,40
"305",2014-11-30,"Kayes","Kita","Kita Commune",NA,35,119
"306",2014-11-30,"Kayes","Nioro","Nioro Commune",NA,58,120
"307",2014-11-30,"Kayes","Yelimane","Guidime",NA,7,8
"308",2014-11-30,"Kayes","Bafoulabe","Bafoulabe",NA,13,49
"309",2014-11-30,"Kayes","Diema","Diema",NA,16,84
"310",2014-11-30,"Kayes","Kayes","Kayes Commune",NA,111,311
"311",2014-11-30,"Sikasso","Koutiala","Koutiala Commune",NA,189,347
"312",2014-11-30,"Sikasso","Yanfolila","Baya",NA,13,20
"313",2014-11-30,"Sikasso","Sikasso","SIKASSO Commune",NA,149,183
"314",2014-11-30,"Ségou","Baroueli","Baraoueli",NA,16,72
"315",2014-11-30,"Sikasso","Bougouni","Bougouni Commune",NA,38,50
"316",2014-11-30,"Ségou","San","San Commune",NA,106,625
"317",2014-11-30,"Ségou","Bla","Bla",NA,13,52
"318",2014-11-30,"Ségou","Niono","Niono",NA,184,979
"319",2014-11-30,"Ségou","Segou","Segou Commune",NA,694,2863
"320",2014-11-30,"Mopti","Bandiagara","Bandiagara Commune",NA,37,80
"321",2014-11-30,"Mopti","Bankass","Bankass",NA,16,37
"322",2014-11-30,"Mopti","Youwarou","Youwarou",NA,6,44
"323",2014-11-30,"Ségou","Tominian","Tominian",NA,9,37
"324",2014-11-30,"Ségou","Macina","Macina",NA,23,88
"325",2014-11-30,"Mopti","Mopti","Mopti Commune",NA,1264,3981
"326",2014-11-30,"Mopti","Koro","Koro",NA,61,263
"327",2014-11-30,"Mopti","Douentza","Douentza Commune",NA,29,119
"328",2014-11-30,"Mopti","Djenne","Djenne Commune",NA,49,83
"329",2014-11-30,"Tombouctou","Dire","Dire",NA,1075,4050
"330",2014-11-30,"Mopti","Tenenkou","Tenenkou Commune",NA,18,58
"331",2014-11-30,"Tombouctou","Tombouctou","Tombouctou",NA,1051,5193
"332",2014-11-30,"Tombouctou","Niafunke","Souboundou",NA,189,871
"333",2014-11-30,"Tombouctou","Gourma-Rharous","Rharous",NA,95,476
"334",2014-11-30,"Tombouctou","Goundam","Goundam Commune",NA,426,1354
"335",2014-11-30,"Gao","Bourem","Bourem",NA,227,1168
"336",2014-11-30,"Gao","Ansongo","Ansongo",NA,409,2291
"337",2014-11-30,"Gao","Gao","Gao",NA,317,1230
"338",2014-11-30,"Gao","Menaka","Menaka",NA,425,2381
"339",2014-11-30,"Kidal","Tin-Essako","Tin Essako",NA,349,1374
"340",2014-11-30,"Kidal","Abeibara","Abeibara",NA,577,1727
"341",2014-11-30,"Kidal","Kidal","Anefif",NA,423,5469
"342",2014-11-30,"Bamako","Bamako","Commune V",NA,0,0
"343",2014-11-30,"Bamako","Bamako","Commune VI",NA,0,0
"344",2014-11-30,"Bamako","Bamako","Commune IV",NA,0,0
"345",2014-11-30,"Bamako","Bamako","Commune III",NA,0,0
"346",2014-11-30,"Kidal","Tessalit","Tessalit",NA,853,3455
"347",2014-11-30,"Bamako","Bamako","Commune II",NA,0,0
"348",2014-11-30,"Bamako","Bamako","Commune I",NA,5018,31146
"349",2014-12-31,"Bamako","Bamako","Commune I",NA,720,4523
"350",2014-12-31,"Bamako","Bamako","Commune II",NA,139,628
"351",2014-12-31,"Kidal","Tessalit","Tessalit",NA,852,3455
"352",2014-12-31,"Kidal","Abeibara","Abeibara",NA,577,1727
"353",2014-12-31,"Bamako","Bamako","Commune IV",NA,412,1689
"354",2014-12-31,"Bamako","Bamako","Commune III",NA,449,2749
"355",2014-12-31,"Bamako","Bamako","Commune V",NA,432,2204
"356",2014-12-31,"Bamako","Bamako","Commune VI",NA,417,2593
"357",2014-12-31,"Kidal","Kidal","Anefif",NA,423,5469
"358",2014-12-31,"Kidal","Tin-Essako","Tin Essako",NA,342,1339
"359",2014-12-31,"Gao","Menaka","Menaka",NA,388,2079
"360",2014-12-31,"Gao","Gao","Gao",NA,332,1794
"361",2014-12-31,"Gao","Bourem","Bourem",NA,256,1484
"362",2014-12-31,"Gao","Ansongo","Ansongo",NA,340,1888
"363",2014-12-31,"Tombouctou","Goundam","Goundam Commune",NA,277,1012
"364",2014-12-31,"Tombouctou","Gourma-Rharous","Rharous",NA,142,626
"365",2014-12-31,"Tombouctou","Niafunke","Souboundou",NA,199,1112
"366",2014-12-31,"Mopti","Tenenkou","Tenenkou Commune",NA,18,58
"367",2014-12-31,"Tombouctou","Dire","Dire",NA,1128,3658
"368",2014-12-31,"Tombouctou","Tombouctou","Tombouctou",NA,832,3940
"369",2014-12-31,"Mopti","Djenne","Djenne Commune",NA,34,56
"370",2014-12-31,"Mopti","Douentza","Douentza Commune",NA,26,89
"371",2014-12-31,"Mopti","Koro","Koro",NA,60,262
"372",2014-12-31,"Ségou","Macina","Macina",NA,5,16
"373",2014-12-31,"Ségou","Tominian","Tominian",NA,8,34
"374",2014-12-31,"Ségou","Niono","Niono",NA,64,314
"375",2014-12-31,"Mopti","Youwarou","Youwarou",NA,6,44
"376",2014-12-31,"Mopti","Bankass","Bankass",NA,16,37
"377",2014-12-31,"Mopti","Bandiagara","Bandiagara Commune",NA,37,80
"378",2014-12-31,"Mopti","Mopti","Mopti Commune",NA,1213,3804
"379",2014-12-31,"Ségou","Segou","Segou Commune",NA,304,1105
"380",2014-12-31,"Ségou","Bla","Bla",NA,9,28
"381",2014-12-31,"Ségou","San","San Commune",NA,100,568
"382",2014-12-31,"Sikasso","Sikasso","SIKASSO Commune",NA,62,70
"383",2014-12-31,"Ségou","Baroueli","Baraoueli",NA,12,41
"384",2014-12-31,"Sikasso","Kolondieba","Kolondieba",NA,1,1
"385",2014-12-31,"Sikasso","Yanfolila","Baya",NA,3,7
"386",2014-12-31,"Sikasso","Koutiala","Koutiala Commune",NA,98,178
